Data Block Size,Iterations,Scalar,Threads,Copy,Scale,Add,Triad
100,30,3,1,831.69105,824.64282,1057.694052,1053.875662
200,30,3,1,1108.921399,995.476755,1357.783993,1059.613642
400,30,3,1,1271.998076,1131.48666,1658.656582,1597.392932
800,30,3,1,1457.795548,1474.361406,1860.867305,1726.081646
1600,30,3,1,1499.206206,1494.170484,1972.456476,1805.480067
3200,30,3,1,3994.677729,3872.949365,5590.397288,4792.998393
6400,30,3,1,1524.342817,1540.557224,2241.524624,1881.291686
12800,30,3,1,3944.704722,4061.765908,5360.23748,4854.646677
25600,30,3,1,2756.53539,2887.707682,4043.743896,3510.707519
51200,30,3,1,3415.832206,3477.706313,5111.307773,4385.44868
102400,30,3,1,3672.332772,3737.906453,5098.144859,4616.675271
204800,30,3,1,3509.924311,3648.532296,4601.679836,4066.351853
409600,30,3,1,3651.222868,3630.602288,4793.959215,4286.498997
819200,30,3,1,3659.37724,3643.146381,4920.65389,4361.00106
1638400,30,3,1,3630.226142,3639.196283,4920.173009,4371.535909
3276800,30,3,1,3644.289349,3664.240629,4944.542337,4363.543422
6553600,30,3,1,3634.508885,3654.788548,4806.829212,4306.055311
100,30,3,2,1390.112183,1441.597819,2013.26592,1999.476427
200,30,3,2,2358.97825,2262.973321,3434.394805,3089.138184
400,30,3,2,3951.587931,3872.949365,5381.079418,4947.856922
800,30,3,2,5138.368465,4958.361926,6469.220131,6415.902382
1600,30,3,2,6354.79855,6625.21551,8779.655892,7957.030553
3200,30,3,2,6309.729057,6426.937646,8714.136072,7726.678138
6400,30,3,2,5499.075125,5503.935112,7613.328336,6651.15975
12800,30,3,2,3018.028873,3033.095132,4166.616355,3658.69142
25600,30,3,2,7896.912448,7915.732544,10996.53192,9573.716494
51200,30,3,2,7586.086126,7415.586907,10142.83808,8889.838928
102400,30,3,2,6605.451857,6597.7978,8691.586189,7728.476015
204800,30,3,2,5575.538778,5897.707419,5840.809773,5869.941852
409600,30,3,2,5260.404589,5298.798384,5699.028627,5650.872146
819200,30,3,2,5491.177012,5539.236115,6107.539912,6009.000016
1638400,30,3,2,5564.174741,5618.075546,6079.313502,6102.132141
3276800,30,3,2,5221.348788,5696.539237,6113.629262,5919.08547
6553600,30,3,2,5328.557873,5424.057484,5921.054776,5763.174227
100,30,3,3,987.896983,968.237341,1552.784885,1474.361406
200,30,3,3,2629.941968,2402.663032,3718.771445,3261.715736
400,30,3,3,3270.852195,2790.189328,4508.471944,3803.564279
800,30,3,3,4689.535075,2199.047521,6311.860722,5507.991668
1600,30,3,3,6739.937856,5501.504045,8538.897503,7485.219446
3200,30,3,3,7622.646976,6005.499112,8763.183742,7326.708917
6400,30,3,3,7794.371188,5911.440512,9189.920186,8042.663684
12800,30,3,3,8151.443166,6446.89708,9743.472093,8179.994631
25600,30,3,3,6540.84556,5178.424346,7725.87935,6724.170501
51200,30,3,3,8267.090456,6480.439729,9837.745139,6286.904261
102400,30,3,3,8544.266958,6565.194615,8507.790409,7857.680094
204800,30,3,3,6272.788245,5760.640638,5160.589443,5798.155865
409600,30,3,3,5866.802553,5330.510954,5837.701549,6077.135224
819200,30,3,3,5863.609102,5529.745069,6019.07274,6150.864823
1638400,30,3,3,6024.038315,5757.332973,6254.078831,6292.07344
3276800,30,3,3,5757.780014,5797.029694,6185.255458,6237.546207
6553600,30,3,3,5726.949625,5615.426424,5954.49181,5981.310365
100,30,3,4,1255.585197,1297.438037,1649.285641,1649.285641
200,30,3,4,1621.797547,1430.997835,2402.663032,2123.080425
400,30,3,4,2851.51217,2503.095892,3444.525763,3089.138184
800,30,3,4,4435.685598,4942.621095,7836.874051,7320.966982
1600,30,3,4,7688.521703,6420.311937,10088.07113,8829.446001
3200,30,3,4,8484.608419,6290.608666,10198.20291,9185.402034
6400,30,3,4,10175.98461,8114.270461,11900.06862,10682.16566
12800,30,3,4,10466.72702,8412.972076,12623.72144,11204.26251
25600,30,3,4,8320.243927,2770.176293,3368.753649,8670.66144
51200,30,3,4,5595.105917,6490.570692,12901.58497,11292.29842
102400,30,3,4,10790.90765,6161.276319,6500.795389,9537.976574
204800,30,3,4,7434.121033,5469.944351,5239.050156,5850.011229
409600,30,3,4,5927.044011,5137.275681,6332.787268,6534.554361
819200,30,3,4,6555.395535,6105.006262,6539.146458,6784.759613
1638400,30,3,4,6407.706571,6225.781342,6809.148928,6943.316185
3276800,30,3,4,6188.012282,6458.832925,6676.357265,6771.891996
6553600,30,3,4,6315.243323,6197.429588,6548.587637,6522.748669
